Order,Latitude,Longitude,Date Created
528,37.2242176,-80.3839168,11/21/19 14:21
529,37.224224,-80.3839424,11/21/19 14:21
530,37.2242304,-80.3839552,11/21/19 14:21
531,37.2242368,-80.3839808,11/21/19 14:21
532,37.2242432,-80.3839936,11/21/19 14:22
533,37.2242464,-80.3840192,11/21/19 14:22
534,37.224256,-80.3840384,11/21/19 14:22
535,37.2242656,-80.3840576,11/21/19 14:22
536,37.2242688,-80.3840768,11/21/19 14:22
537,37.2242688,-80.3841024,11/21/19 14:22
538,37.2242752,-80.3841152,11/21/19 14:22
539,37.2242688,-80.3841344,11/21/19 14:22
540,37.2242688,-80.3841536,11/21/19 14:22
541,37.2242592,-80.3841728,11/21/19 14:22
542,37.2242496,-80.384192,11/21/19 14:22
543,37.2242432,-80.3842112,11/21/19 14:22
544,37.2242304,-80.3842304,11/21/19 14:22
545,37.224224,-80.3842496,11/21/19 14:22
546,37.2242112,-80.3842688,11/21/19 14:22
547,37.2242048,-80.384288,11/21/19 14:22
548,37.224192,-80.3843072,11/21/19 14:22
549,37.2241824,-80.38432,11/21/19 14:22
550,37.224176,-80.3843392,11/21/19 14:22
551,37.2241632,-80.3843584,11/21/19 14:22
552,37.2241568,-80.3843776,11/21/19 14:22
553,37.224144,-80.3843904,11/21/19 14:22
554,37.2241376,-80.3844096,11/21/19 14:22
555,37.224128,-80.3844288,11/21/19 14:22
556,37.2241216,-80.384448,11/21/19 14:22
557,37.224112,-80.3844608,11/21/19 14:22
558,37.2241056,-80.3844864,11/21/19 14:22
559,37.2240992,-80.3844992,11/21/19 14:22
560,37.2240928,-80.3845184,11/21/19 14:22
561,37.2240896,-80.3845376,11/21/19 14:22
562,37.2240864,-80.3845568,11/21/19 14:22
563,37.22408,-80.384576,11/21/19 14:22
564,37.2240768,-80.3845952,11/21/19 14:22
565,37.2240704,-80.3846144,11/21/19 14:22
566,37.2240672,-80.3846336,11/21/19 14:22
567,37.2240608,-80.3846592,11/21/19 14:22
568,37.2240576,-80.384672,11/21/19 14:22
569,37.2240448,-80.3846912,11/21/19 14:22
570,37.2240384,-80.384704,11/21/19 14:22
571,37.2240288,-80.3847296,11/21/19 14:22
572,37.2240192,-80.3847424,11/21/19 14:22
573,37.2240096,-80.3847552,11/21/19 14:22
574,37.2240064,-80.3847744,11/21/19 14:22
575,37.224,-80.3847872,11/21/19 14:22
576,37.2239968,-80.3848128,11/21/19 14:22
577,37.2239872,-80.3848256,11/21/19 14:22
578,37.223984,-80.3848448,11/21/19 14:22
579,37.2239776,-80.3848576,11/21/19 14:22
580,37.223968,-80.3848704,11/21/19 14:22
581,37.2239616,-80.3848896,11/21/19 14:22
582,37.223952,-80.3849024,11/21/19 14:22
583,37.2239424,-80.3849152,11/21/19 14:22
584,37.2239392,-80.3849344,11/21/19 14:22
585,37.2239264,-80.3849472,11/21/19 14:22
586,37.2239232,-80.3849664,11/21/19 14:22
587,37.22392,-80.3849856,11/21/19 14:22
588,37.2239136,-80.3850048,11/21/19 14:22
589,37.2239104,-80.3850176,11/21/19 14:22
590,37.2239072,-80.3850304,11/21/19 14:22
591,37.2239072,-80.3850496,11/21/19 14:22
592,37.223904,-80.3850624,11/21/19 14:23
593,37.223904,-80.3850816,11/21/19 14:23
594,37.223904,-80.385088,11/21/19 14:23
595,37.223904,-80.3851008,11/21/19 14:23
596,37.2239008,-80.3851136,11/21/19 14:23
597,37.2238976,-80.3851328,11/21/19 14:23
598,37.2238976,-80.3851392,11/21/19 14:23
599,37.2238912,-80.385152,11/21/19 14:23
600,37.223888,-80.3851712,11/21/19 14:23
601,37.2238848,-80.385184,11/21/19 14:23
602,37.2238816,-80.3852096,11/21/19 14:23
603,37.223872,-80.385216,11/21/19 14:23
604,37.2238784,-80.3852416,11/21/19 14:23
605,37.223872,-80.3852416,11/21/19 14:23
606,37.223872,-80.385248,11/21/19 14:23
607,37.2238688,-80.3852544,11/21/19 14:23
608,37.2238592,-80.3852672,11/21/19 14:23
609,37.2238528,-80.3852608,11/21/19 14:23
610,37.2238496,-80.3852672,11/21/19 14:23
611,37.2238464,-80.3852736,11/21/19 14:23
612,37.2238464,-80.3852864,11/21/19 14:23
613,37.2238336,-80.3852928,11/21/19 14:23
614,37.2238432,-80.385312,11/21/19 14:23
615,37.2238624,-80.385344,11/21/19 14:23
616,37.2238656,-80.385344,11/21/19 14:23
617,37.2238656,-80.3853504,11/21/19 14:23
618,37.2238624,-80.3853632,11/21/19 14:23
619,37.223872,-80.385376,11/21/19 14:23
620,37.2239008,-80.3854464,11/21/19 14:23
621,37.2239072,-80.3854592,11/21/19 14:23
622,37.2239136,-80.385472,11/21/19 14:23
623,37.2239232,-80.385472,11/21/19 14:23
624,37.2239232,-80.3854848,11/21/19 14:23
625,37.2239296,-80.3854848,11/21/19 14:23
626,37.2239328,-80.3854912,11/21/19 14:23
627,37.2239392,-80.3854912,11/21/19 14:23
628,37.2239392,-80.3854912,11/21/19 14:23
629,37.2239424,-80.3854912,11/21/19 14:23
630,37.2239424,-80.3854912,11/21/19 14:23
631,37.2239424,-80.3854976,11/21/19 14:25
632,37.2239456,-80.3854912,11/21/19 14:25
633,37.2239456,-80.3854848,11/21/19 14:25
634,37.2239456,-80.3854848,11/21/19 14:25
635,37.2239488,-80.385472,11/21/19 14:25
636,37.223952,-80.3854656,11/21/19 14:25
637,37.2239488,-80.3854592,11/21/19 14:25
638,37.2239616,-80.3854528,11/21/19 14:25
639,37.223968,-80.3854464,11/21/19 14:25
640,37.223968,-80.38544,11/21/19 14:25
641,37.223968,-80.3854272,11/21/19 14:25
642,37.2239712,-80.3854208,11/21/19 14:25
643,37.2239712,-80.3854144,11/21/19 14:25
644,37.2239712,-80.3854144,11/21/19 14:25
645,37.2239648,-80.385408,11/21/19 14:25
646,37.223952,-80.3853888,11/21/19 14:25
647,37.2239424,-80.385376,11/21/19 14:25
648,37.2239264,-80.3853632,11/21/19 14:25
649,37.2239136,-80.385344,11/21/19 14:25
650,37.2239072,-80.3853312,11/21/19 14:25
651,37.2239072,-80.385312,11/21/19 14:25
652,37.2238912,-80.3853056,11/21/19 14:25
653,37.2238976,-80.3852992,11/21/19 14:25
654,37.2238976,-80.3852928,11/21/19 14:25
655,37.2238912,-80.3852736,11/21/19 14:25
656,37.223888,-80.3852608,11/21/19 14:25
657,37.2238848,-80.385248,11/21/19 14:25
658,37.2238848,-80.3852416,11/21/19 14:25
659,37.223888,-80.3852224,11/21/19 14:25
660,37.2238912,-80.3852096,11/21/19 14:25
661,37.2238976,-80.3852032,11/21/19 14:25
662,37.2239008,-80.3851904,11/21/19 14:25
663,37.223904,-80.385184,11/21/19 14:25
664,37.2239072,-80.3851712,11/21/19 14:25
665,37.2239104,-80.3851648,11/21/19 14:25
666,37.2239104,-80.3851456,11/21/19 14:25
667,37.2239136,-80.3851392,11/21/19 14:25
668,37.2239136,-80.3851328,11/21/19 14:25
669,37.2239136,-80.3851136,11/21/19 14:25
670,37.2239136,-80.3851072,11/21/19 14:25
671,37.22392,-80.3851008,11/21/19 14:25
672,37.22392,-80.385088,11/21/19 14:25
673,37.2239264,-80.3850688,11/21/19 14:26
674,37.2239296,-80.3850688,11/21/19 14:26
675,37.2239392,-80.3850624,11/21/19 14:26
676,37.2239424,-80.385056,11/21/19 14:26
677,37.2239488,-80.3850432,11/21/19 14:26
678,37.223952,-80.385024,11/21/19 14:26
679,37.2239584,-80.3850112,11/21/19 14:26
680,37.2239648,-80.3850048,11/21/19 14:26
681,37.223968,-80.3849856,11/21/19 14:26
682,37.2239712,-80.3849728,11/21/19 14:26
683,37.2239808,-80.3849536,11/21/19 14:26
684,37.2239872,-80.3849472,11/21/19 14:26
685,37.2239968,-80.3849344,11/21/19 14:26
686,37.2240032,-80.3849152,11/21/19 14:26
687,37.2240064,-80.3849024,11/21/19 14:26
688,37.2240128,-80.384896,11/21/19 14:26
689,37.2240224,-80.3848832,11/21/19 14:26
690,37.224032,-80.3848704,11/21/19 14:26
691,37.2240384,-80.3848576,11/21/19 14:26
692,37.2240416,-80.3848448,11/21/19 14:26
693,37.2240448,-80.3848256,11/21/19 14:26
694,37.2240512,-80.3848192,11/21/19 14:26
695,37.2240576,-80.3848064,11/21/19 14:26
696,37.2240608,-80.3847872,11/21/19 14:26
697,37.2240672,-80.3847744,11/21/19 14:26
698,37.2240768,-80.3847552,11/21/19 14:26
699,37.22408,-80.384736,11/21/19 14:26
700,37.2240864,-80.3847168,11/21/19 14:26
701,37.2240896,-80.384704,11/21/19 14:26
702,37.2240928,-80.3846912,11/21/19 14:26
703,37.2240992,-80.384672,11/21/19 14:26
704,37.2241024,-80.3846592,11/21/19 14:26
705,37.2241088,-80.3846464,11/21/19 14:26
706,37.224112,-80.3846336,11/21/19 14:26
707,37.2241184,-80.3846208,11/21/19 14:26
708,37.2241216,-80.384608,11/21/19 14:26
709,37.2241248,-80.3845888,11/21/19 14:26
710,37.224128,-80.384576,11/21/19 14:26
711,37.2241376,-80.3845568,11/21/19 14:26
712,37.2241408,-80.384544,11/21/19 14:26
713,37.224144,-80.3845312,11/21/19 14:26
714,37.2241472,-80.384512,11/21/19 14:26
715,37.2241504,-80.3844992,11/21/19 14:26
716,37.2241568,-80.3844864,11/21/19 14:26
717,37.22416,-80.3844672,11/21/19 14:26
718,37.2241632,-80.3844608,11/21/19 14:26
719,37.2241664,-80.384448,11/21/19 14:26
720,37.2241696,-80.3844288,11/21/19 14:26
721,37.2241792,-80.384416,11/21/19 14:26
722,37.2241824,-80.3844096,11/21/19 14:26
723,37.2241888,-80.3843904,11/21/19 14:26
724,37.2241984,-80.3843776,11/21/19 14:26
725,37.2242048,-80.3843712,11/21/19 14:26
726,37.2242112,-80.384352,11/21/19 14:26
727,37.2242208,-80.3843392,11/21/19 14:26
728,37.2242304,-80.3843328,11/21/19 14:26
729,37.22424,-80.3843136,11/21/19 14:26
730,37.2242432,-80.3843008,11/21/19 14:26
731,37.224256,-80.384288,11/21/19 14:27
732,37.2242592,-80.3842688,11/21/19 14:27
733,37.2242688,-80.384256,11/21/19 14:27
734,37.2242752,-80.3842368,11/21/19 14:27
735,37.2242816,-80.384224,11/21/19 14:27
736,37.224288,-80.3842112,11/21/19 14:27
737,37.2242976,-80.384192,11/21/19 14:27
738,37.2243008,-80.3841792,11/21/19 14:27
739,37.2243072,-80.38416,11/21/19 14:27
